geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g008010.1.1,0,0,0,0,0,0
Solyc00g008020.1.1,0,0,0,0,0,0
Solyc00g008030.1.1,0,0,0,0,0,0
Solyc00g008040.1.1,0,0,0,0,0,0
Solyc00g008050.1.1,0,0,0,0,0,0
Solyc00g008060.1.1,0,0,0,0,0,0
Solyc00g008070.1.1,0,0,0,0,0,0
Solyc00g008080.1.1,0,0,0,0,0,0
Solyc00g008090.1.1,0,0,0,0,0,0
Solyc00g008100.1.1,0,0,0,0,0,0
Solyc00g008110.1.1,0,0,0,0,0,0
Solyc00g008120.1.1,0,0,0,0,0,0
Solyc00g008130.1.1,0,0,0,0,0,0
Solyc00g008140.1.1,0,0,0,0,0,0
Solyc00g008150.1.1,0,0,0,0,0,0
Solyc00g008160.1.1,0,0,0,0,0,0
Solyc00g008260.1.1,0,0,0,0,0,0
Solyc00g008270.1.1,0,0,0,0,0,0
Solyc00g008570.2.1,0,0,0,0,0,0
Solyc00g008580.1.1,42,132,284,57,90,64
Solyc00g008680.2.1,1212,850,968,1328,1104,920
Solyc00g008690.1.1,0,0,0,0,0,0
Solyc00g008800.1.1,0,0,0,0,0,0
Solyc00g008900.1.1,0,0,0,0,0,0
Solyc00g008910.1.1,0,0,0,0,0,0
Solyc00g008920.1.1,0,0,0,0,0,0
Solyc00g009020.2.1,2415,2717,3993,2331,2092,1653
Solyc00g009030.1.1,0,1,2,47,61,50
Solyc00g009040.2.1,611,906,1272,1796,1541,1222
Solyc00g009050.1.1,5,8,13,30,37,37
Solyc00g009060.2.1,158,125,83,199,175,140
Solyc00g009070.1.1,151,803,642,255,207,177
Solyc00g009080.2.1,146,225,195,232,193,160
Solyc00g009090.2.1,1,0,2,35,42,38
Solyc00g009100.2.1,169,97,85,219,202,170
Solyc00g009110.2.1,376,221,143,488,425,407
Solyc00g009120.2.1,95,76,99,176,120,149
Solyc00g009130.2.1,27,26,6,20,20,13
Solyc00g009140.2.1,188,198,267,131,127,92
Solyc00g009240.1.1,0,0,0,0,0,0
Solyc00g009440.1.1,1,0,0,0,0,0
Solyc00g009540.1.1,0,0,0,0,0,0
Solyc00g009650.1.1,0,0,0,0,0,0
Solyc00g009660.1.1,0,0,0,0,0,0
Solyc00g009760.2.1,44,97,141,28,48,48
Solyc00g009770.1.1,0,0,0,0,0,0
Solyc00g009780.1.1,0,1,1,0,0,0
Solyc00g009790.1.1,0,0,0,0,0,0
Solyc00g009800.1.1,0,0,0,0,0,0
Solyc00g010100.1.1,0,0,0,0,0,0
Solyc00g010110.1.1,0,0,0,0,0,0
Solyc00g010210.1.1,0,0,0,0,0,0
Solyc00g010410.1.1,0,0,0,0,0,0
Solyc00g010420.1.1,0,0,0,0,0,0
Solyc00g010520.1.1,0,0,0,0,0,0
Solyc00g010530.1.1,3,5,5,1,1,1
Solyc00g010540.1.1,0,0,0,0,0,0
Solyc00g010550.1.1,0,0,0,0,0,0
Solyc00g010750.1.1,11,5,7,17,10,11
Solyc00g010760.1.1,0,0,0,0,0,0
Solyc00g010770.1.1,2,1,1,4,1,4
Solyc00g010780.1.1,0,0,0,0,0,0
Solyc00g010790.1.1,0,0,0,0,0,0
Solyc00g010810.1.1,0,0,0,0,0,0
Solyc00g010930.1.1,0,0,0,0,0,0
Solyc00g011130.1.1,0,0,0,0,0,0
Solyc00g011140.1.1,0,0,0,0,0,0
Solyc00g011150.1.1,161,353,554,149,242,215
