Taxonomy,Sample,Abundance,basin,Phylum,Class,Order,Family,Core,Depth
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),CS_2_3235,89,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),2,32-35 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),Med_1620,478,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),1,16-20 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),CS_2_48,139,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),2,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),Med_2428,525,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),1,24-28 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),CS_2_812,254,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),2,8-12 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),Med_48,118,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;(Gammaproteobacteria),CS_48,187,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,(Gammaproteobacteria),1,4-8 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_04,300,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,0-4 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS,184,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,,
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_1216,12,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,12-16 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,Med_04,59,Mediterranean,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,0-4 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_2024,32,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,20-24 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,Med_1216,16,Mediterranean,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,12-16 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_3235,14,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,32-35 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,Med_1620,275,Mediterranean,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,16-20 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_48,29,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,4-8 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,Med_2428,228,Mediterranean,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,24-28 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_2_812,37,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,2,8-12 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,Med_48,128,Mediterranean,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,4-8 cm
Bacteria;Verrucomicrobiota;Kiritimatiellae;WCHB1-41,CS_48,43,Caspian,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,1,4-8 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_04,261,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,0-4 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS,203,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),,
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_1216,569,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,12-16 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),Med_04,470,Mediterranean,Bacteria,NB1-j,(NB1-j),(NB1-j),1,0-4 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_2024,228,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,20-24 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),Med_1216,547,Mediterranean,Bacteria,NB1-j,(NB1-j),(NB1-j),1,12-16 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_3235,125,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,32-35 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),Med_1620,503,Mediterranean,Bacteria,NB1-j,(NB1-j),(NB1-j),1,16-20 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_48,260,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,4-8 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),Med_2428,438,Mediterranean,Bacteria,NB1-j,(NB1-j),(NB1-j),1,24-28 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_2_812,481,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),2,8-12 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),Med_48,270,Mediterranean,Bacteria,NB1-j,(NB1-j),(NB1-j),1,4-8 cm
Bacteria;NB1-j;(NB1-j);(NB1-j),CS_48,367,Caspian,Bacteria,NB1-j,(NB1-j),(NB1-j),1,4-8 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_04,243,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,0-4 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS,553,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_1216,231,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,12-16 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,Med_04,511,Mediterranean,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,0-4 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_2024,393,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,20-24 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,Med_1216,377,Mediterranean,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,12-16 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_3235,291,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,32-35 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,Med_1620,634,Mediterranean,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,16-20 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_48,277,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,4-8 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,Med_2428,357,Mediterranean,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,24-28 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_2_812,329,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,2,8-12 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,Med_48,503,Mediterranean,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,4-8 cm
Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales,CS_48,378,Caspian,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,1,4-8 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_04,240,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,0-4 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS,157,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,,
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_1216,133,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,12-16 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,Med_04,236,Mediterranean,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,0-4 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_2024,105,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,20-24 cm
